nom_c	nom_l	color	vol_vox	vol_mm3	xv	yv	zv	xmm	ymm	zmm
S_Sup_Frontal-6-L	S_Sup_Frontal-6-L	17	558	4464	57	64	65	-23.7168458781362	0.272401433691755	57.9641577060932
S_Sup_Frontal-6-R	S_Sup_Frontal-6-R	18	509	4072	34	64	66	23.4145383104126	1.90962671905697	59.0923379174853
G_Frontal_Mid-1-L	G_Frontal_Mid-1-L	19	272	2176	65	84	46	-39.9779411764706	41.1102941176471	19.5294117647059
G_Frontal_Mid-1-R	G_Frontal_Mid-1-R	20	516	4128	25	86	43	41.3062015503876	44.3410852713178	13.437984496124
G_Frontal_Mid-2-L	G_Frontal_Mid-2-L	21	759	6072	62	86	49	-32.8036890645586	44.4084321475626	25.4176548089592
G_Frontal_Mid-2-R	G_Frontal_Mid-2-R	22	697	5576	30	86	50	31.7044476327116	45.2309899569584	27.2482065997131
G_Frontal_Mid-3-L	G_Frontal_Mid-3-L	23	140	1120	65	79	54	-39.0857142857143	30.9142857142857	35.4428571428571
G_Frontal_Mid-3-R	G_Frontal_Mid-3-R	24	295	2360	27	80	54	37.3084745762712	33.0372881355932	35.0372881355932
G_Frontal_Mid-4-L	G_Frontal_Mid-4-L	25	499	3992	64	73	60	-37.9519038076152	19.3266533066132	46.7374749498998
G_Frontal_Mid-4-R	G_Frontal_Mid-4-R	26	424	3392	26	74	60	38.8349056603774	21.5660377358491	46.438679245283
G_Frontal_Mid-5-L	G_Frontal_Mid-5-L	27	245	1960	67	73	55	-43.2408163265306	19.8367346938776	37.069387755102
G_Frontal_Mid-5-R	G_Frontal_Mid-5-R	28	527	4216	25	72	57	41.8557874762808	17.3092979127135	41.4421252371916
S_Inf_Frontal-1-L	S_Inf_Frontal-1-L	29	585	4680	68	83	42	-44.2393162393163	38.3213675213675	11.7367521367521
S_Inf_Frontal-1-R	S_Inf_Frontal-1-R	30	281	2248	22	83	41	46.3843416370107	39.5943060498221	9.87900355871886
S_Inf_Frontal-2-L	S_Inf_Frontal-2-L	31	1116	8928	67	71	51	-43.1075268817204	14.84229390681	29.4139784946236
S_Inf_Frontal-2-R	S_Inf_Frontal-2-R	32	1138	9104	24	73	51	43.9402460456942	18.5114235500879	28.377855887522
G_Frontal_Inf_Tri-1-L	G_Frontal_Inf_Tri-1-L	33	1289	10312	70	76	39	-49.44453064391	25.5577967416602	4.67804499612103
G_Frontal_Inf_Tri-1-R	G_Frontal_Inf_Tri-1-R	34	967	7736	21	78	39	49.8304033092037	28.5398138572906	5.02171664943123
G_Frontal_Sup_Orb-1-L	G_Frontal_Sup_Orb-1-L	35	421	3368	52	90	26	-12.4275534441805	52.1947743467933	-20.104513064133
G_Frontal_Sup_Orb-1-R	G_Frontal_Sup_Orb-1-R	36	389	3112	39	89	26	12.4627249357327	50.185089974293	-20.9974293059126
G_Frontal_Mid_Orb-1-L	G_Frontal_Mid_Orb-1-L	37	105	840	63	92	33	-35.0095238095238	56.8190476190476	-7.71428571428571
G_Frontal_Mid_Orb-1-R	G_Frontal_Mid_Orb-1-R	38	176	1408	27	92	33	36.4772727272727	56.75	-6.10227272727273
G_Frontal_Mid_Orb-2-L	G_Frontal_Mid_Orb-2-L	39	505	4040	66	88	34	-41.0455445544554	48.9861386138614	-5.31485148514851
G_Frontal_Mid_Orb-2-R	G_Frontal_Mid_Orb-2-R	40	359	2872	26	89	34	39.7437325905292	50.3175487465181	-4.04456824512535
G_Frontal_Inf_Orb-1-L	G_Frontal_Inf_Orb-1-L	41	180	1440	67	79	28	-42.1777777777778	30.5333333333333	-16.8666666666667
G_Frontal_Inf_Orb-1-R	G_Frontal_Inf_Orb-1-R	42	264	2112	23	80	29	44.219696969697	33.0151515151515	-14.4318181818182
G_Frontal_Inf_Orb-2-L	G_Frontal_Inf_Orb-2-L	43	557	4456	56	75	26	-21.245960502693	22.5852782764811	-20.7396768402154
G_Frontal_Inf_Orb-2-R	G_Frontal_Inf_Orb-2-R	44	509	4072	35	75	27	21.0255402750491	22.3811394891945	-19.6935166994106
S_Orbital-1-L	S_Orbital-1-L	45	278	2224	58	83	29	-24.9712230215827	38.568345323741	-14.9928057553957
S_Orbital-1-R	S_Orbital-1-R	46	345	2760	33	84	29	25.2347826086957	41.3739130434783	-14.6260869565217
S_Orbital-2-L	S_Orbital-2-L	47	225	1800	61	80	30	-31.1377777777778	33.9288888888889	-13.1733333333333
S_Orbital-2-R	S_Orbital-2-R	48	243	1944	31	81	30	29.1687242798354	34.3045267489712	-12.7325102880658
S_Olfactory-1-L	S_Olfactory-1-L	49	470	3760	48	83	25	-5.53191489361703	38.804255319149	-23.4510638297872
S_Olfactory-1-R	S_Olfactory-1-R	50	477	3816	43	82	25	5.54297693920336	37.8993710691824	-23.4716981132075
S_Precentral-1-L	S_Precentral-1-L	51	250	2000	70	67	49	-49.744	6.14400000000001	25.672
S_Precentral-1-R	S_Precentral-1-R	52	337	2696	20	68	49	50.2077151335312	9.64985163204747	24.2255192878338
S_Precentral-2-L	S_Precentral-2-L	53	307	2456	58	59	66	-25.1726384364821	-8.54071661237785	58.0260586319218
S_Precentral-2-R	S_Precentral-2-R	54	309	2472	32	60	66	26.0582524271845	-7.72168284789645	58.0453074433657
S_Precentral-3-L	S_Precentral-3-L	55	67	536	55	59	71	-18.2985074626866	-8.71641791044776	68.1492537313433
S_Precentral-3-R	S_Precentral-3-R	56	40	320	36	60	70	19.75	-6.34999999999999	67.7
S_Precentral-4-L	S_Precentral-4-L	57	706	5648	67	64	61	-42.070821529745	0.725212464589248	49.1048158640227
S_Precentral-4-R	S_Precentral-4-R	58	540	4320	24	64	61	43.6555555555556	0.996296296296293	48.3592592592593
S_Precentral-5-L	S_Precentral-5-L	59	146	1168	74	66	52	-56.1095890410959	4.79452054794521	30.5753424657534
S_Precentral-5-R	S_Precentral-5-R	60	147	1176	17	68	51	56.9523809523809	8.0408163265306	28.7755102040816
S_Precentral-6-L	S_Precentral-6-L	61	132	1056	60	58	68	-29.8181818181818	-10.9848484848485	63.5909090909091
S_Precentral-6-R	S_Precentral-6-R	62	119	952	30	59	69	30.9075630252101	-9.79831932773109	64.1680672268908
S_Rolando-1-L	S_Rolando-1-L	63	1167	9336	73	59	52	-54.2639245929734	-8.37189374464438	31.9914310197087
S_Rolando-1-R	S_Rolando-1-R	64	1101	8808	18	61	52	55.3950953678474	-5.19891008174388	31.1407811080836
S_Rolando-2-L	S_Rolando-2-L	65	383	3064	67	56	61	-43.2323759791123	-14.0365535248042	49.9268929503916
S_Rolando-2-R	S_Rolando-2-R	66	338	2704	23	58	61	44.7218934911243	-10.9230769230769	48.6153846153846
S_Rolando-3-L	S_Rolando-3-L	67	1032	8256	65	52	67	-38.4670542635659	-23.1511627906977	60.4302325581395
S_Rolando-3-R	S_Rolando-3-R	68	1146	9168	27	53	66	36.8464223385689	-20.1902268760907	59.9842931937173
S_Rolando-4-L	S_Rolando-4-L	69	1002	8016	57	49	69	-23.1157684630738	-28.8522954091816	64.3233532934132
S_Rolando-4-R	S_Rolando-4-R	70	730	5840	34	50	69	22.0876712328767	-27.2657534246575	65.358904109589
S_Postcentral-1-L	S_Postcentral-1-L	71	194	1552	74	55	52	-57.5154639175258	-17.7835051546392	31.7525773195876
S_Postcentral-1-R	S_Postcentral-1-R	72	234	1872	16	56	53	58.2735042735043	-15	32.2905982905983
S_Postcentral-2-L	S_Postcentral-2-L	73	527	4216	66	47	63	-40.6489563567362	-33.4193548387097	53.8709677419355
S_Postcentral-2-R	S_Postcentral-2-R	74	756	6048	25	49	63	40.8888888888889	-29.9126984126984	52.3121693121693
S_Postcentral-3-L	S_Postcentral-3-L	75	566	4528	67	47	58	-43.0565371024735	-32.6360424028269	43.5618374558304
S_Postcentral-3-R	S_Postcentral-3-R	76	145	1160	22	51	58	47.9724137931034	-25.9724137931034	42.5379310344828
G_Parietal_Sup-1-L	G_Parietal_Sup-1-L	77	61	488	57	40	66	-23.6065573770492	-47.344262295082	58.8196721311475
G_Parietal_Sup-1-R	G_Parietal_Sup-1-R	78	117	936	34	40	68	23.6239316239316	-46.7008547008547	62.4444444444445
G_Parietal_Sup-2-L	G_Parietal_Sup-2-L	79	189	1512	55	40	69	-18.6560846560847	-46.7830687830688	65.6507936507936
G_Parietal_Sup-2-R	G_Parietal_Sup-2-R	80	217	1736	35	41	70	20.0921658986175	-44.7465437788018	66.5161290322581
G_Parietal_Sup-3-L	G_Parietal_Sup-3-L	81	253	2024	60	38	69	-29.8656126482213	-50.9723320158103	64.3715415019763
G_Parietal_Sup-3-R	G_Parietal_Sup-3-R	82	143	1144	31	39	70	29.2167832167832	-48.7552447552448	67.2167832167832
G_Parietal_Sup-4-L	G_Parietal_Sup-4-L	83	206	1648	58	36	64	-24.8446601941748	-54.2135922330097	55.3203883495146
G_Parietal_Sup-4-R	G_Parietal_Sup-4-R	84	279	2232	33	38	65	25.5985663082437	-51.0752688172043	56.3727598566308
G_Parietal_Sup-5-L	G_Parietal_Sup-5-L	85	435	3480	54	33	66	-16.0551724137931	-61.2137931034483	59.2689655172414
G_Parietal_Sup-5-R	G_Parietal_Sup-5-R	86	260	2080	38	35	67	15.1846153846154	-57.8307692307692	61.2307692307692
G_Supramarginal-1-L	G_Supramarginal-1-L	87	279	2232	73	49	47	-54.4731182795699	-29.505376344086	21.3691756272401
G_Supramarginal-1-R	G_Supramarginal-1-R	88	367	2936	18	50	48	54.5068119891008	-26.408719346049	22.0490463215259
G_SupraMarginal-2-L	G_SupraMarginal-2-L	89	243	1944	75	49	49	-58.9547325102881	-29.1522633744856	25.8930041152263
G_SupraMarginal-2-R	G_SupraMarginal-2-R	90	348	2784	16	50	51	58.7183908045977	-26.7643678160919	29.1896551724138
G_Supramarginal-3-L	G_Supramarginal-3-L	91	300	2400	75	50	55	-58.68	-27.3333333333333	36.3266666666667
G_Supramarginal-3-R	G_Supramarginal-3-R	92	205	1640	16	52	56	59.8634146341463	-23.0926829268293	38.4975609756098
G_Supramarginal-4-L	G_Supramarginal-4-L	93	321	2568	75	45	55	-59.1277258566978	-37.9501557632399	36.6728971962617
G_Supramarginal-4-R	G_Supramarginal-4-R	94	270	2160	15	46	56	60.1555555555556	-35.4074074074074	38.0074074074074
G_SupraMarginal-5-L	G_SupraMarginal-5-L	95	107	856	74	42	51	-57.8317757009346	-42.5607476635514	29.2710280373832
G_SupraMarginal-5-R	G_SupraMarginal-5-R	96	178	1424	16	44	50	59.6966292134831	-39.8314606741573	27.5168539325843
G_SupraMarginal-6-L	G_SupraMarginal-6-L	97	107	856	72	42	59	-53.4579439252336	-42.1495327102804	45.1028037383178
G_SupraMarginal-6-R	G_SupraMarginal-6-R	98	133	1064	19	44	58	53.7744360902256	-38.1503759398496	43.9548872180451
G_SupraMarginal-7-L	G_SupraMarginal-7-L	99	303	2424	73	38	49	-55.2145214521452	-51.6699669966997	25.5115511551155
G_SupraMarginal-7-R	G_SupraMarginal-7-R	100	125	1000	18	41	53	55.36	-45.904	33.408
G_Angular-1-L	G_Angular-1-L	101	541	4328	70	35	58	-48.0369685767098	-57.09426987061	42.8022181146026
G_Angular-1-R	G_Angular-1-R	102	541	4328	20	37	58	50.5027726432532	-52.2883548983364	42.5101663585952
G_Angular-2-L	G_Angular-2-L	103	490	3920	64	28	56	-37.9183673469388	-70.1836734693878	38.7469387755102
G_Angular-2-R	G_Angular-2-R	104	555	4440	23	32	55	44.5045045045045	-62.3711711711712	36.2774774774775
G_Angular-3-L	G_Angular-3-L	105	308	2464	67	28	50	-42.6298701298701	-70.6363636363636	27.038961038961
G_Angular-3-R	G_Angular-3-R	106	277	2216	22	32	49	47.0108303249097	-62.9530685920578	24.7148014440433
G_Parietal_Inf-1-L	G_Parietal_Inf-1-L	107	192	1536	68	37	61	-44.7708333333333	-52.8125	48.6666666666667
G_Parietal_Inf-1-R	G_Parietal_Inf-1-R	108	410	3280	24	37	60	42.7268292682927	-53.1317073170732	47.5853658536585
S_Intraparietal-1-L	S_Intraparietal-1-L	109	389	3112	66	42	61	-41.2082262210797	-42.6169665809769	48.1696658097686
S_Intraparietal-1-R	S_Intraparietal-1-R	110	633	5064	25	44	62	40.1042654028436	-39.9968404423381	51.001579778831
S_Intraparietal-2-L	S_Intraparietal-2-L	111	761	6088	63	34	59	-34.042049934297	-58.2522996057819	45.2614980289093
S_Intraparietal-2-R	S_Intraparietal-2-R	112	717	5736	27	37	61	37.442119944212	-52.3486750348675	48.3319386331939
S_Intraparietal-3-L	S_Intraparietal-3-L	113	706	5648	59	34	58	-27.0396600566572	-59.7620396600567	43.4475920679887
S_Intraparietal-3-R	S_Intraparietal-3-R	114	746	5968	32	33	59	26.5603217158177	-61.3967828418231	45.798927613941
S_Intraoccipital-1-L	S_Intraoccipital-1-L	115	49	392	58	28	53	-24	-71.6734693877551	32.1224489795918
S_Intraoccipital-1-R	S_Intraoccipital-1-R	116	48	384	32	29	53	27.8333333333333	-69.375	33.2916666666667
G_Occipital_Pole-1-L	G_Occipital_Pole-1-L	117	302	2416	56	15	30	-21.3708609271523	-96.0198675496689	-13.7417218543046
G_Occipital_Pole-1-R	G_Occipital_Pole-1-R	118	383	3064	34	17	30	23.9477806788512	-93.2062663185379	-12.8355091383812
G_Occipital_Lat-1-L	G_Occipital_Lat-1-L	119	356	2848	53	15	37	-15.2359550561798	-96.8483146067416	1.34831460674157
G_Occipital_Lat-1-R	G_Occipital_Lat-1-R	120	422	3376	37	16	38	17.1090047393365	-94.2417061611374	3.52132701421802
G_Occipital_Lat-2-L	G_Occipital_Lat-2-L	121	576	4608	59	17	36	-26.3645833333333	-93.6284722222222	-0.711805555555557
G_Occipital_Lat-2-R	G_Occipital_Lat-2-R	122	699	5592	31	19	35	28.3118741058655	-89.2818311874106	-2.10300429184549
G_Occipital_Lat-3-L	G_Occipital_Lat-3-L	123	145	1160	65	21	31	-39.5724137931034	-84.4413793103448	-11.9448275862069
G_Occipital_Lat-3-R	G_Occipital_Lat-3-R	124	115	920	24	23	31	43.3739130434783	-81.1478260869565	-10.2260869565217
G_Occipital_Lat-4-L	G_Occipital_Lat-4-L	125	485	3880	61	19	41	-30.7835051546392	-88.6556701030928	8.42474226804124
G_Occipital_Lat-4-R	G_Occipital_Lat-4-R	126	472	3776	29	21	41	33.6186440677966	-85.385593220339	8.8135593220339
G_Occipital_Lat-5-L	G_Occipital_Lat-5-L	127	974	7792	63	24	36	-35.3264887063655	-78.7453798767967	-0.616016427104725
G_Occipital_Lat-5-R	G_Occipital_Lat-5-R	128	1015	8120	28	26	37	35.6059113300493	-75.5665024630542	1.64729064039409
G_Occipital_Sup-1-L	G_Occipital_Sup-1-L	129	184	1472	53	22	54	-15.4565217391304	-82.5326086956522	34.5434782608696
G_Occipital_Sup-1-R	G_Occipital_Sup-1-R	130	171	1368	36	23	55	18.046783625731	-80.7602339181286	37.2631578947368
G_Occipital_Sup-2-L	G_Occipital_Sup-2-L	131	499	3992	53	18	49	-14.0921843687375	-90.3286573146293	24.9498997995992
G_Occipital_Sup-2-R	G_Occipital_Sup-2-R	132	560	4480	37	20	50	17.0392857142857	-87.7821428571429	26.4678571428571
G_Occipital_Mid-1-L	G_Occipital_Mid-1-L	133	496	3968	62	24	49	-32.008064516129	-78.0766129032258	24.616935483871
G_Occipital_Mid-1-R	G_Occipital_Mid-1-R	134	511	4088	27	26	49	36.3052837573386	-74.4305283757339	25.0567514677104
G_Occipital_Mid-2-L	G_Occipital_Mid-2-L	135	225	1800	64	25	44	-36.9688888888889	-77.3955555555555	14.3555555555556
G_Occipital_Mid-2-R	G_Occipital_Mid-2-R	136	376	3008	25	27	43	41.1063829787234	-72.9148936170213	12.1755319148936
G_Occipital_Mid-3-L	G_Occipital_Mid-3-L	137	202	1616	66	28	45	-41.7326732673267	-71.4851485148515	17.950495049505
G_Occipital_Mid-3-R	G_Occipital_Mid-3-R	138	159	1272	23	32	44	45.0691823899371	-63.1446540880503	15.1194968553459
G_Occipital_Mid-4-L	G_Occipital_Mid-4-L	139	363	2904	64	23	52	-36.1542699724518	-80.0220385674931	30.2809917355372
G_Occipital_Mid-4-R	G_Occipital_Mid-4-R	140	498	3984	25	27	51	40.9236947791165	-73.8714859437751	29.6465863453815
G_Occipital_Inf-1-L	G_Occipital_Inf-1-L	141	139	1112	70	29	34	-48.4172661870504	-68.9928057553957	-4.30215827338129
G_Occipital_Inf-1-R	G_Occipital_Inf-1-R	142	180	1440	21	33	32	49.9	-60.2111111111111	-8.75555555555556
G_Occipital_Inf-2-L	G_Occipital_Inf-2-L	143	382	3056	68	28	33	-44.5287958115183	-70.717277486911	-6.68062827225131
G_Occipital_Inf-2-R	G_Occipital_Inf-2-R	144	450	3600	22	31	33	47.0577777777778	-64.7288888888889	-7.45333333333333
G_Insula-anterior-1-L	G_Insula-anterior-1-L	145	252	2016	56	66	27	-20.3412698412698	4.95238095238096	-19.3253968253968
G_Insula-anterior-1-R	G_Insula-anterior-1-R	146	317	2536	36	67	27	19.3501577287066	7.04731861198738	-19.0662460567823
G_Insula-anterior-2-L	G_Insula-anterior-2-L	147	399	3192	62	72	30	-33.7944862155389	16.7919799498747	-12.7418546365915
G_Insula-anterior-2-R	G_Insula-anterior-2-R	148	273	2184	28	73	30	34.7032967032967	18.4688644688645	-12.7252747252747
G_Insula-anterior-3-L	G_Insula-anterior-3-L	149	469	3752	62	75	37	-33.7398720682303	23.680170575693	0.575692963752658
G_Insula-anterior-3-R	G_Insula-anterior-3-R	150	721	5768	27	76	36	36.8016643550624	24.2108183079057	-0.33287101248267
G_Insula-anterior-4-L	G_Insula-anterior-4-L	151	734	5872	66	71	38	-40.7493188010899	15.1471389645777	2.6267029972752
G_Insula-anterior-4-R	G_Insula-anterior-4-R	152	593	4744	25	71	39	40.8060708263069	14.5092748735244	4.09106239460371
G_Insula-anterior-5-L	G_Insula-anterior-5-L	153	593	4744	66	63	33	-41.7841483979764	-0.927487352445198	-7.99662731871838
G_Insula-anterior-5-R	G_Insula-anterior-5-R	154	591	4728	25	64	32	41.8477157360406	1.86463620981388	-8.75465313028765
G_Insula-posterior-1-L	G_Insula-posterior-1-L	155	923	7384	67	54	43	-42.0780065005417	-19.0964247020585	13.7074756229686
G_Insula-posterior-1-R	G_Insula-posterior-1-R	156	858	6864	25	54	44	40.6107226107226	-19.4638694638695	14.3076923076923
G_Rolandic_Oper-1-L	G_Rolandic_Oper-1-L	157	650	5200	69	65	41	-46.2553846153846	3.59076923076924	9.3876923076923
G_Rolandic_Oper-1-R	G_Rolandic_Oper-1-R	158	558	4464	22	66	41	46.1039426523297	5.64516129032259	9.35125448028674
G_Rolandic_Oper-2-L	G_Rolandic_Oper-2-L	159	550	4400	71	59	43	-50.5927272727273	-8.95636363636363	13.9054545454545
G_Rolandic_Oper-2-R	G_Rolandic_Oper-2-R	160	616	4928	21	60	43	49.737012987013	-6.32467532467533	13.8863636363636
G_Temporal_Sup-1-L	G_Temporal_Sup-1-L	161	105	840	73	63	38	-55.4666666666667	-1.12380952380953	2.3047619047619
G_Temporal_Sup-1-R	G_Temporal_Sup-1-R	162	136	1088	18	65	38	55.7058823529412	2.10294117647058	2.52941176470588
G_Temporal_Sup-2-L	G_Temporal_Sup-2-L	163	308	2464	68	58	36	-45.2597402597403	-10.9350649350649	-1.61688311688312
G_Temporal_Sup-2-R	G_Temporal_Sup-2-R	164	307	2456	22	60	36	46.5342019543974	-7.1986970684039	-1.58957654723127
G_Temporal_Sup-3-L	G_Temporal_Sup-3-L	165	954	7632	72	50	42	-52.0041928721174	-27.1299790356394	10.916142557652
G_Temporal_Sup-3-R	G_Temporal_Sup-3-R	166	825	6600	17	54	41	57.270303030303	-19.1781818181818	8.83393939393939
G_Temporal_Sup-4-L	G_Temporal_Sup-4-L	167	832	6656	75	52	38	-58.7451923076923	-23.25	3.72596153846153
G_Temporal_Sup-4-R	G_Temporal_Sup-4-R	168	729	5832	15	54	38	60.0466392318244	-19.9753086419753	2.20301783264746
S_Sup_Temporal-1-L	S_Sup_Temporal-1-L	169	326	2608	70	71	26	-49.7055214723926	14.0245398773006	-21.5460122699387
S_Sup_Temporal-1-R	S_Sup_Temporal-1-R	170	85	680	19	70	24	52.1176470588235	13.364705882353	-25.8588235294118
S_Sup_Temporal-2-L	S_Sup_Temporal-2-L	171	403	3224	73	60	30	-54.863523573201	-7.1712158808933	-12.7543424317618
S_Sup_Temporal-2-R	S_Sup_Temporal-2-R	172	767	6136	18	62	29	54.3233376792699	-2.4954367666232	-15.4993481095176
S_Sup_Temporal-3-L	S_Sup_Temporal-3-L	173	629	5032	73	47	36	-54.6836248012719	-33.0143084260731	-1.66613672496025
S_Sup_Temporal-3-R	S_Sup_Temporal-3-R	174	641	5128	19	48	36	53.0546021840874	-31.8751950078003	-0.271450858034328
S_Sup_Temporal-4-L	S_Sup_Temporal-4-L	175	642	5136	74	39	43	-56.5482866043614	-48.3676012461059	13.3613707165109
S_Sup_Temporal-4-R	S_Sup_Temporal-4-R	176	840	6720	18	41	44	54.6142857142857	-45.5285714285714	14.6119047619048
S_Sup_Temporal-5-L	S_Sup_Temporal-5-L	177	711	5688	70	34	49	-48.1209563994374	-58.1772151898734	25.789029535865
S_Sup_Temporal-5-R	S_Sup_Temporal-5-R	178	463	3704	20	36	47	51.377969762419	-54.0647948164147	21.0323974082073
G_Temporal_Mid-1-L	G_Temporal_Mid-1-L	179	364	2912	76	58	28	-61.2087912087912	-11.5384615384615	-16.8406593406593
G_Temporal_Mid-1-R	G_Temporal_Mid-1-R	180	214	1712	15	61	26	60.9532710280374	-5.46728971962617	-21
G_Temporal_Mid-2-L	G_Temporal_Mid-2-L	181	536	4288	77	46	30	-62.9776119402985	-34.339552238806	-12.0671641791045
G_Temporal_Mid-2-R	G_Temporal_Mid-2-R	182	592	4736	14	49	30	63.6993243243243	-28.402027027027	-12.7972972972973
G_Temporal_Mid-3-L	G_Temporal_Mid-3-L	183	266	2128	76	46	34	-60.9699248120301	-35.0300751879699	-4.80451127819549
G_Temporal_Mid-3-R	G_Temporal_Mid-3-R	184	241	1928	14	48	34	62.3402489626556	-30.8796680497925	-4.70539419087137
G_Temporal_Mid-4-L	G_Temporal_Mid-4-L	185	496	3968	72	34	40	-53.0887096774194	-59.3870967741936	7.03225806451613
G_Temporal_Mid-4-R	G_Temporal_Mid-4-R	186	269	2152	17	37	38	56.7955390334572	-53.2193308550186	2.96654275092936
G_Temporal_Inf-1-L	G_Temporal_Inf-1-L	187	930	7440	69	56	20	-46.5720430107527	-15.1806451612903	-32.6903225806452
G_Temporal_Inf-1-R	G_Temporal_Inf-1-R	188	927	7416	23	60	19	45.2362459546926	-7.25566343042071	-35.6030204962244
G_Temporal_Inf-2-L	G_Temporal_Inf-2-L	189	629	5032	75	50	25	-58.550079491256	-26.066772655008	-23.8378378378378
G_Temporal_Inf-2-R	G_Temporal_Inf-2-R	190	649	5192	17	52	24	57.8181818181818	-22.2187981510015	-25.0323574730354
G_Temporal_Inf-3-L	G_Temporal_Inf-3-L	191	654	5232	74	37	30	-56.4373088685015	-52.9388379204893	-13.7064220183486
G_Temporal_Inf-3-R	G_Temporal_Inf-3-R	192	596	4768	17	40	30	57.3926174496644	-46.3322147651007	-13.8489932885906
G_Temporal_Inf-4-L	G_Temporal_Inf-4-L	193	410	3280	71	33	33	-50.019512195122	-60.6292682926829	-7.6390243902439
G_Temporal_Inf-4-R	G_Temporal_Inf-4-R	194	226	1808	18	35	31	54.0619469026549	-57.858407079646	-10.5486725663717
G_Temporal_Inf-5-L	G_Temporal_Inf-5-L	195	136	1088	68	32	39	-45.0882352941177	-63.8235294117647	5.5
G_Temporal_Inf-5-R	G_Temporal_Inf-5-R	196	138	1104	21	34	38	49.2173913043478	-58.3333333333333	3.81159420289855
G_Temporal_Pole_Sup-1-L	G_Temporal_Pole_Sup-1-L	197	363	2904	63	69	25	-35.4435261707989	10.6115702479339	-23.8787878787879
G_Temporal_Pole_Sup-1-R	G_Temporal_Pole_Sup-1-R	198	207	1656	28	71	25	35.5072463768116	15.7004830917874	-23.9420289855072
G_Temporal_Pole_Sup-2-L	G_Temporal_Pole_Sup-2-L	199	201	1608	67	67	28	-42.6766169154229	7.6318407960199	-16.2487562189055
G_Temporal_Pole_Sup-2-R	G_Temporal_Pole_Sup-2-R	200	344	2752	24	68	28	43.9825581395349	9.24418604651163	-16.4476744186046
G_Temporal_Pole_Mid-1-L	G_Temporal_Pole_Mid-1-L	201	861	6888	68	67	20	-45.1707317073171	7.20789779326364	-33.9210220673635
G_Temporal_Pole_Mid-1-R	G_Temporal_Pole_Mid-1-R	202	411	3288	21	68	20	48.1313868613139	8.42335766423358	-33.1532846715328
G_Temporal_Pole_Mid-2-L	G_Temporal_Pole_Mid-2-L	203	46	368	63	68	20	-35.2173913043478	8.78260869565219	-32.8260869565217
G_Temporal_Pole_Mid-2-R	G_Temporal_Pole_Mid-2-R	204	199	1592	28	70	20	34.7638190954774	12.4020100502512	-33.8793969849246
G_Temporal_Pole_Mid-3-L	G_Temporal_Pole_Mid-3-L	205	880	7040	58	66	18	-25.7045454545455	5.92045454545453	-37.4113636363636
G_Temporal_Pole_Mid-3-R	G_Temporal_Pole_Mid-3-R	206	991	7928	32	67	19	26.3673057517659	6.49848637739657	-35.9152371342079
G_Frontal_Sup_Medial-1-L	G_Frontal_Sup_Medial-1-L	207	381	3048	49	89	43	-7.79002624671917	51.6062992125984	12.4619422572178
G_Frontal_Sup_Medial-1-R	G_Frontal_Sup_Medial-1-R	208	364	2912	42	90	43	7.54945054945055	52.2362637362637	13.4230769230769
